#,Q1,Q2,Q3,Q4,Q5,Q6,Q7
8_5_6,3.0,2.0,2.0,3.0,4.0,4.0,3.0
9_1_1,3.0,5.0,5.0,5.0,4.0,5.0,4.0
9_1_2,3.0,5.0,5.0,5.0,4.0,1.0,3.0
9_1_3,3.0,5.0,5.0,5.0,1.0,1.0,2.0
9_1_4,3.0,5.0,5.0,5.0,5.0,5.0,5.0
9_1_5,2.0,4.0,1.0,1.0,1.0,1.0,1.0
9_1_6,3.0,5.0,5.0,5.0,5.0,5.0,5.0
9_2_1,3.0,5.0,5.0,5.0,3.0,5.0,4.0
9_2_2,2.0,4.0,4.0,3.0,4.0,5.0,4.0
9_2_3,1.0,5.0,3.0,3.0,4.0,3.0,1.0
9_2_4,2.0,5.0,5.0,5.0,5.0,4.0,4.0
9_2_5,2.0,4.0,4.0,4.0,3.0,4.0,2.0
9_2_6,3.0,5.0,5.0,5.0,5.0,5.0,4.0
9_3_1,2.0,4.0,5.0,5.0,4.0,5.0,4.0
9_3_2,1.0,5.0,3.0,2.0,1.0,2.0,1.0
9_3_3,2.0,5.0,3.0,3.0,2.0,5.0,3.0
9_3_4,2.0,4.0,5.0,3.0,2.0,2.0,1.0
9_3_5,2.0,4.0,1.0,1.0,1.0,1.0,1.0
9_3_6,3.0,5.0,5.0,5.0,4.0,5.0,4.0
9_4_1,2.0,4.0,5.0,4.0,2.0,4.0,2.0
9_4_2,2.0,4.0,5.0,4.0,2.0,2.0,1.0
9_4_3,2.0,4.0,5.0,4.0,1.0,1.0,1.0
9_4_4,2.0,4.0,5.0,4.0,1.0,1.0,1.0
9_4_5,2.0,4.0,4.0,4.0,2.0,2.0,1.0
9_4_6,2.0,4.0,5.0,5.0,4.0,4.0,3.0
9_5_1,2.0,2.0,5.0,5.0,2.0,2.0,2.0
9_5_2,1.0,1.0,5.0,2.0,2.0,1.0,1.0
9_5_3,1.0,2.0,4.0,2.0,1.0,1.0,1.0
9_5_4,2.0,4.0,1.0,1.0,1.0,1.0,1.0
9_5_5,2.0,2.0,4.0,4.0,1.0,1.0,1.0
9_5_6,2.0,2.0,5.0,5.0,4.0,4.0,4.0
10_1_1,1.0,5.0,5.0,5.0,5.0,5.0,3.0
10_1_2,2.0,5.0,5.0,5.0,5.0,5.0,4.0
10_1_3,1.0,5.0,5.0,5.0,5.0,2.0,3.0
10_1_4,1.0,5.0,5.0,5.0,5.0,5.0,5.0
10_1_5,1.0,5.0,1.0,1.0,1.0,1.0,1.0
10_1_6,1.0,5.0,5.0,5.0,5.0,5.0,5.0
10_2_1,1.0,5.0,5.0,5.0,2.0,1.0,4.0
10_2_2,1.0,5.0,1.0,1.0,5.0,5.0,3.0
10_2_3,1.0,5.0,1.0,1.0,5.0,5.0,3.0
10_2_4,1.0,5.0,5.0,5.0,5.0,5.0,3.0
10_2_5,1.0,5.0,1.0,1.0,5.0,5.0,3.0
10_2_6,1.0,5.0,5.0,5.0,5.0,5.0,4.0
10_3_1,1.0,5.0,5.0,5.0,5.0,2.0,4.0
10_3_2,1.0,5.0,2.0,2.0,5.0,2.0,5.0
10_3_3,1.0,5.0,5.0,5.0,5.0,5.0,5.0
10_3_4,1.0,5.0,1.0,1.0,5.0,2.0,3.0
10_3_5,1.0,5.0,1.0,1.0,1.0,1.0,1.0
10_3_6,1.0,5.0,5.0,5.0,5.0,5.0,5.0
10_4_1,1.0,5.0,1.0,1.0,5.0,2.0,3.0
